# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: slimfly100.cscs.ch
# Release : 3.10.0-1160.15.2.el7.x86_64
# Version : #1 SMP Wed Feb 3 15:06:38 UTC 2021
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 10.934632 
# Number of iterations (recorded+unrecorded): 3864123130 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
1049886039.31	1962.77
1050885945.83	1971.88
1051885823.20	1946.36
1052885724.26	1966.41
1053885607.10	2084.87
1054885499.05	1948.19
1055885401.93	1959.12
1056885292.06	1986.46
1057885184.01	2073.94
1058885077.78	1948.19
1059884955.15	2307.21
1060884859.85	1964.59
1061884742.69	2061.18
1062884636.46	1962.77
1063884517.47	1968.23
1064884413.07	1951.83
1065884319.59	2077.58
1066884204.25	1968.23
1067884090.73	1950.01
1068883995.44	3710.49
1069883876.45	2070.29
1070883766.58	2296.27
1071883662.17	1948.19
1072883552.30	1964.59
1073883433.31	2073.94
1074883338.02	1946.36
1075883226.32	1962.77
1076883120.09	1957.30
1077883006.58	1948.19
1078882896.70	2992.44
1079882797.76	1970.06
1080882686.07	1946.36
1081882574.37	2303.56
1082882464.50	2077.58
1083882349.15	1946.36
1084882250.21	1955.48
1085882149.45	1964.59
1086882032.29	1942.72
1087881929.71	1951.83
1088881810.72	1966.41
1089881706.31	1971.88
1090881607.37	1940.90
1091881490.21	1968.23
1092881389.45	2319.96
1093881270.46	1957.30
1094881169.70	1959.12
1095881045.25	1970.06
1096880942.66	1944.54
1097880841.90	1957.30
1098880730.20	1966.41
1099880625.80	1955.48
1100880523.21	1951.83
1101880404.23	1960.94
1102880307.11	1970.06
1103880182.66	2307.21
1104880087.36	1995.57
1105879977.49	1986.46
1106879858.50	1946.36
1107879759.56	1957.30
1108879646.04	1968.23
1109879545.28	1946.36
1110879422.65	1977.35
1111879318.25	1970.06
1112879219.31	1946.36
1113879096.67	1953.65
1114878992.27	2318.14
1115878893.33	1977.35
1116878776.17	3606.61
1117878675.40	1957.30
