0_MainRank-Duration_s,0_MainRank-Bandwidth_Gb/s
1.66e-06,0.004819277
1.746e-06,0.00458059
1.817e-06,0.004404074
1.836e-06,0.004358485
1.726e-06,0.004636337
1.677e-06,0.004770423
1.678e-06,0.00476758
1.706e-06,0.004690706
1.66e-06,0.004819277
1.711e-06,0.004675628
1.654e-06,0.004838222
1.788e-06,0.004473022
1.773e-06,0.004512126
1.792e-06,0.004464285
2.041e-06,0.003920608
3.067e-06,0.002608837
6.724e-06,0.001189768
8.243e-06,0.000970579
7.743e-06,0.001033125
1.0219e-05,0.000782855
3.653e-06,0.002189981
4.196e-06,0.001906578
1.1068e-05,0.000722772
2.7745e-05,0.00028834
5.5671e-05,0.0001437
4.3847e-05,0.000182453
3.3382e-05,0.000239654
2.2915e-05,0.000349109
1.8876e-05,0.000423819
3.3242e-05,0.000240663
3.4319e-05,0.000233107
3.0906e-05,0.000258845
1.3229e-05,0.000604709
1.2879e-05,0.000621166
1.3081e-05,0.000611574
2.5135e-05,0.000318288
2.0291e-05,0.000394254
1.5539e-05,0.000514817
9.747e-06,0.000820765
8.226e-06,0.000972526
6.236e-06,0.001282976
3.346e-06,0.002391272
1.791e-06,0.004468026
1.736e-06,0.004608295
1.71e-06,0.004678363
1.806e-06,0.004428453
2.97e-06,0.002693149
2.057e-06,0.003890104
2.635e-06,0.003036053
1.996e-06,0.004008016
1.761e-06,0.004544164
1.718e-06,0.004656577
1.688e-06,0.004739337
1.662e-06,0.004813477
1.67e-06,0.004788985
1.676e-06,0.00477327
1.687e-06,0.004743552
1.685e-06,0.004749184
1.681e-06,0.004759072
1.663e-06,0.00481203
1.669e-06,0.004791854
1.683e-06,0.004754829
1.652e-06,0.004842615
1.803e-06,0.00443828
1.677e-06,0.004769002
1.755e-06,0.004557106
1.852e-06,0.004319654
1.782e-06,0.004489338
1.786e-06,0.004479283
1.643e-06,0.004869142
1.728e-06,0.00462963
1.697e-06,0.004715591
1.675e-06,0.004777546
1.692e-06,0.004728132
1.67e-06,0.004788985
1.75e-06,0.004572735
1.678e-06,0.00476758
1.7e-06,0.004704499
1.663e-06,0.004810583
1.701e-06,0.004703116
1.718e-06,0.004657933
1.772e-06,0.004514673
1.798e-06,0.004449388
1.965e-06,0.004071247
1.73e-06,0.004625614
1.67e-06,0.004790419
1.696e-06,0.004716981
